ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1995.8.1,1995,Untitled  Geomantic Artwork,Wang Po Shu,Stone Wood Steel,Ross University Hills Branch Library,Exterior,,3158538.48872,1667687.05474,{757BB89D-83B7-4FA9-BD36-CAF4B5B54108}
1998.3.1,1998,Full Play,Barbara Baer,Plexiglass and metal,Cook Park,,,3166418.36683,1675697.87232,{8CD841A7-8DA1-4EF6-BC9A-3E7E0204B495}
1998.2.1,1998,Man and Woman two pieces,Fernando Botero,Bronze,DPAC Atrium,,,3140963.80265,1696385.09925,{F6078108-6E67-4A16-86E9-B40261202606}
1997.4.1,1997,Monumental Intentions,Marcus Akinlana,Tile Mosiac,PLEX Galleria,,,3141126.12978,1696536.14098,{640FAE59-8A64-4DDD-A57E-6F0511840ADA}
1997.5.1,1997,Twi Lights,John Powell,Light Installation,Plex Garage,,,3141063.62926,1696733.18901,{4F404FD5-8A9D-44C2-896B-832355B2B0C4}
1971.1.1,1971,Anemotive Tower 6,Robert Mangold,Steel,Athmar Branch Library,Exterior,,3136964.86855,1679094.39132,{05A06899-9893-448C-9E06-2F14B44FEA7B}
1980.1.1,1980,Infinite Energy,Victor M. Contreras,Bronze,Denver Performing Arts Complex,,,3141145.2265,1696523.98817,{9B190AFD-4071-4665-B3EA-DB6607D0067D}
1991.19.1,1991,Ode to the West Wind,George Woodman,Tile Mosiac,Temple Buell Theatre,Mezzanine Level,,3141159.98318,1696538.74478,{6C0143DE-6E27-4EBE-9D68-9EB4EB7B2D4D}
1991.8.1,1991,Union Spire,Kevin Oehler,Painted Steel,14th and Wazee,,,3140066.00765,1697929.05216,{4D57568F-05BC-4A5D-B0D2-72C4F4BB9ABF}
1991.10.1,1991,Colorado Vactionland,Gary Sweeney,Photographic Installation,16th and California,,,3142818.27774,1696776.2123,{B9BBB0C6-DCCA-4CA6-B0B3-ED585FB5AD2B}
1992.2.1,1992,Soundwalk,Jim Green,Sound Sculpture,Between 15th and 16th on Curtis,,,3141559.65958,1697464.4142,{5DC386D4-CEE1-45ED-A317-7EB23A9D4851}
1992.3.1,1992,Creekfront,Barry Rose,Ceramic Tiles,Creekfront Park,On bollards at Speer Boulevard and Larimer street entrances to the Cherry Creek Path,,3140526.67297,1697274.31015,{7CF755F4-8ACB-4529-B97E-E1964E48724B}
1912.1.1,1912,Childrens Fountain,Max Blondet,Marble,City Park,South Path around Ferril Lake,,3155278.12971,1696747.23923,{C2FF5061-F3FC-47F2-9E76-3185145763E2}
1925.1.1,1925-1926,Elizabeth Allen Sopris Mem;Sundial and Flagpole,Unknown,Bronze and Marble,City Park,West of the Pavillion,,3153855.16113,1697131.7187,{786FD1BE-FC42-4688-9F5A-9D54048EBF9A}
2001.1.1,2001,Martin Luther King Jr  Monument,Ed Dwight,Marble/Bronze,"City Park  Martin Luther King, Jr. Sculpture",,,3153387.3597,1697084.79173,{79F1F9A8-6CD4-4253-8116-91C4BBB776A8}
1961.1.1,1961,Elephant at the Waterhole Mural,Eva Brand,Mural,Denver Zoo,,,3154876.30407,1698623.55517,{F6C28216-F203-4175-B894-8430BE1F15AB}
1981.3.1,1981,Golden Eagle Sculpture,T.H. Dickson,Bronze,Denver Zoo,,,3154891.83082,1698600.265,{6FA0E411-7194-42D8-B046-2A986D10B119}
1988.1.1,1988,Cares For Her Brother,Veryl Goodnight,Bronze,Denver Zoo,,,3154889.88933,1698575.03466,{6FD980E3-F72C-48DE-AD12-D3C4C8565819}
2004.4.1,2004,Laughing Escalator,Jim Green,Sound Installation,Convention Center Expansion,,,3141891.97976,1696065.51238,{40A9B6F9-202D-4946-9CF1-E9BDAE822548}
2003.9.1,2003,Construction  ,Darrell Anderson,Painted Ceramic,Wellington E Webb Municipal Building,5th Floor Elevator Hall,,3143383.88893,1695090.28491,{B3C42401-307F-4EE3-926E-BABE768DEAF0}
2005.7.1,2005,Meeting of the Minds,Douglas Kornfeld ,Painted Steel,City Park Golf Clubhouse,,,3151970.52854,1699580.95652,{7150ADEB-ADD3-461E-8F32-DF096B3155DD}
2006.11.1,2006,Gratis and Aegis,Jonathan Stiles,Steel,Police Department District 3 Southwest,,,3152047.43327,1675678.77949,{91F7B50C-F014-4936-B20D-15D55087E918}
1934.1.1,1934,American Indian Orpheus and the Animals,Gladys Caldwell Fisher,Stone Relief,City and County Building,,,3143163.20792,1694528.63197,{3913FE72-0CE2-4724-A2F8-C6F8D4187484}
1939.1.1,1939,Unknown,Louise Ronnebeck,Fresco,Denver General Hospital, ,,3143315.00938,1689950.13389,{FD731D6F-E33F-4D03-AD39-EF42146BB790}
1991.14.1,1991,At Play,Julie Burrington,Mural,Congress Park Pool,,,3153046.43077,1691239.68355,{0F72332A-E5DC-440E-8D8A-1E8D3DB71539}
1997.6.1,1997,The Flag,Jill Burkee/Giancarlo Biagi,Painted Bronze,Social Services Building,,,3133955.32381,1693031.42175,{9A6663BE-0653-4148-82B6-E2C5BE9845CD}
1992.1.1,1992,Personal Icons,Barry Rose,Bronze Tiles,Ross Barnum Branch Library,,,3130990.34513,1686723.02105,{66CEEC07-8448-4902-BE92-DB67B0A1E5EB}
1968.1.1,1968,Homage To The Pioneer,Susan Pogzeba,Bronze and Concrete,SE Corner of Lincoln and Speer,,,3144385.35458,1690114.48174,{552FE9A7-D24C-4E22-8032-CC709E7CD8F9}
1969.2.1,1968,Untitled  Dedicated To Martin Luther King Jr,Anthony Magar,Wood and plexiglass,Burns Park,,,3158043.77817,1684879.83802,{28DABC66-5C99-43DC-B3AD-0852C8E78925}
1991.16.1,1991,Jesters,Mike Davis,Painted Steel Sculptures,Curtis between 14th and 16th,On either side of the street,,3141454.51372,1696763.74645,{A2436F24-9B47-4588-BEF3-5F862882AD4B}
2003.39.1,2003,Dancers,Jonathan Borofsky,Steel and Fiberglass,DPAC Sculpture Park,Speer side,,3140818.83732,1695921.55738,{48EA41C1-F54A-4135-9D1C-F97C0DDD273E}
1975.1.1,1975,Untitled,Gerald Cross,Steel  and Plexiglass,Auraria Triangle,,,3140737.24001,1695014.43931,{1DEBFFF5-0957-4B81-A5A6-950AFC6F89AC}
1991.11.1,1991,Jade Spire,Kevin Oehler,Bronze,17th and Blake,,,3141166.43102,1698923.61535,{BA6F8A91-BB0B-4816-8A94-ABCE1994F76B}
1909.1.1,1909,Robert Burns Memorial,Grant Stevenson,Bronze,City Park,,,3153629.32578,1697476.33593,{AFC2BBE6-57A6-4F3E-B7B2-BBA91E0D25BA}
1977.2.1,1977,The Sentinel  Pronghorn,Kenneth Bunn,Bronze,Denver Zoo,,,3154843.31031,1698611.91008,{65ADF8B4-506E-48F5-9744-5FB0B75628BE}
1924.1.1,1924,Pinhorn Statue and Drinking Fountain,Clara Soanson Dieman,Bronze, Larimer Square,Breezeway,,3140867.28117,1697532.44834,{3467B7AC-8C39-403F-96CC-71C9F5C29667}
1998.4.1,1998,Sympathetic Embrace,Michael Clapper,Stone,Denver Health,Corner of Bannock and Speer,,3143419.72021,1690486.81229,{91AFD5D4-9870-4760-93E5-D52519CD808B}
1989.5.1,1989,The Gorilla,Sherry Sander,Bronze,Denver Zoo,,,3153071.84758,1698722.89981,{8EF23823-F9AF-485E-8761-83A8118370E6}
1991.5.1,1991,Moose And Baby Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142777.33621,1694044.85967,{06BF5C81-DB3C-4539-8D51-07470DE4AFC8}
2002.1.1,2002,Northpark,Tony Ortega and Maureen Auman,Sandblasted Concrete/Lithochrome Dye,Northside Park North Platte Reclamation,,,3160411.24323,1713113.77379,{E6749507-D499-4BDB-B8A1-5FAC51372F88}
2003.11.1,2003,South Gateway,Scott Greenig,Painting Acrylic,Wellington E Webb Municipal Building,,,3143275.04965,1695026.72072,{BE9918CF-3AE4-4350-B472-6AA7606EDBCA}
2003.3.1,2003,Civic Center Floating Island,Jim Colbert,Oil Painting  ,Wellington E Webb Municipal Building,,,3143406.50638,1695107.20251,{A4CE9EFE-07CC-4492-B07B-F907B8B71241}
2003.27.1,2003,Cultural Tapestries,L.Brower Hatcher,Mixed Media,Police Department District 1 Northwest,,,3139718.36458,1709546.39557,{3B158E05-300A-438F-8FA5-B919C49C0E02}
2003.19.2,2003,House Play  Childerns Cabinets,George Peters and Melanie Walker,Painted Plywood  ,Family Crisis Center,Lobby Area,,3133917.87573,1692387.67543,{94E01B5D-DC20-4831-9382-C95BFC2CFF47}
1920.6.1,1920,The Ancient Mariner,Robert Garrison,Carved Stone,Park Hill Branch Library,Main Building East Wall,,3159560.57525,1697780.60248,{F84F0A72-C907-4BC9-830F-1CBDC8B07699}
2008.4.1,2008,Stimuli,Christopher Weed,Powder coated steel,Lowry Head Start,11th and Ulster St,,3170450.6697,1691736.95573,{22346C14-C1D1-4002-984F-728524B8E17A}
2009.1.1,2009,Current3,Virginia Folkstad,Light,Manny's Bridge,Wynkoop St over Cherry Creek,,3139625.59748,1698468.9927,{7AB954FC-7FCA-4450-B935-CB2522B2AAE7}
1911.1.1,1911,Pioneer Fountain,Frederick MacMonnies,Bronze Granite,Broadway and Colfax,,,3144073.99213,1694938.70287,{BCF33A28-2374-4E3B-8473-89111BCF668C}
1970.1.1,1970,"Christopher Columbus, Discoverer of America",William F Joseph,Bronze,Civic Center Park,,,3143804.88282,1694668.52477,{29F7AF53-C86D-4827-A88D-7906BA039955}
1920.3.1,1920,Broncho Buster,Alexander Phimister Proctor,Bronze,Civic Center Park,,,3143690.68269,1694431.85468,{DA83485E-1C1F-4545-902B-6E8B32D479E7}
1922.1.1,1922,On The War Trail,Alexander Phimister Proctor,Bronze,Civic Center Park,,,3143807.63855,1694435.39874,{D40096F7-8F3C-4E11-B382-0ECE8DD70901}
1989.3.1,1989,Calculated Risk,Erick Johnson,Aluminum  ,City Permit Building,NE corner exterior,,3143305.39023,1694208.3919,{51851C19-854B-47F7-B9DE-2AF1BED6EC04}
1989.2.1,1989,Town Where The West Went Wild,Steven F. Morath,Mural,City Permit Building,,,3143291.22058,1694180.05128,{E35BFC1E-5C20-4986-A68C-31887BBDC5BA}
2004.3.1,2004,Indeterminate Line,Bernar Venet,Cor-ten Steel,Convention Center Expansion,Corner of Speer and Stout,,3140886.45454,1695638.29404,{7AFB3531-504C-4A1A-B15D-34E72EBCA570}
1991.9.1,1991,Tail Spin,Erick Johnson,Metal Installation,Colorado Convention Center ,14th St side lobby exhibition hall,,3141712.23507,1696237.44047,{FC29AAB4-EF8E-4D14-BFFD-C1C2D27EEE89}
2004.1.1,2004,Pioneers of Colorado,William Mathews,Watercolor,Convention Center Expansion,,,3141766.93976,1695911.81747,{F24D8D6A-931E-4C59-8B52-8A53FD2A1D2F}
2004.2.1,2004,Wood Water Rock,Trine Bumiller,Oil Paintings,Convention Center Expansion,Amphitheatre Lobby,,3141506.44184,1695310.06593,{7CE62E61-98BA-47F3-AD26-EB9B325A0BCF}
2005.2.1,2005,Stone Garden,Jonathan Bonner,Granite,Convention Center Expansion,,,3142233.23215,1695833.66812,{1A60C7D6-B590-4934-B89B-C146A23B2664}
2005.1.1,2005,I See What You Mean,Lawrence Argent,Composite Materials,Convention Center Expansion,,,3141873.74401,1696180.13067,{AC60D84F-5EEE-4DAF-94C9-0EBAB19F4F7E}
2005.4.1,2005,Reconstructing Ancient Colorado Landscapes,Johnson Vriesen Museum,Acrylic,Convention Center Expansion,,,3141639.15305,1695756.22912,{D1806375-9AF3-4332-8EC8-FC89ADB7412E}
1898.1.1,1898,The Boy and a Frog,Elsie Ward Hering,Bronze,Denver Botanic Gardens,,,3151543.38639,1691648.49587,{F33FFBF7-3841-48CC-9785-33CBE2388F2E}
1925.2.1,1925-26,The Story of a Pikes Peaker,Robert Garrison,Frieze Stone,Denver Botanic Gardens,,,3151158.02116,1691849.48868,{2824B974-387B-4473-806B-CD61C3AFEE10}
1980.3.1,1980,Scripture Gardens,William F Joseph,Bronze Plaques,Denver Botanic Gardens,,,3151606.116,1691725.80906,{839C69ED-4AF7-4134-AD50-93EB8D7A6FEF}
1971.3.1,1971,Feature Fountain,Unknown,Stone,Denver Botanic Gardens,,,3151468.18112,1691736.19395,{A5255696-E6FA-425A-9EF2-FE15DA30BC82}
1938.1.1,1938,Unknown Portrait of Thomas Jefferson,Unknown,Oil on Canvas,City and County Building,,,3143162.33911,1694539.04856,{2BA5121E-07C0-4290-B0DF-9A6251323680}
1950.2.1,1950,Miners Court,Allen True,Oil Painting on Canvas,City and County Building,,,3143162.33911,1694560.75039,{806519E5-EBFA-4C25-AD22-3C8058965A1C}
1993.1.1,1993,20th Century Perspectives,Susan Cooper,Oil on Sculpted Wood,City and County Building,,,3143163.20792,1694569.43067,{48A67E23-539C-4B4B-B2ED-10BEE30B5B0A}
1995.1.1,1995,Saco DeBoer,Ed Dwight,Bronze,City and County Building,,,3143164.94291,1694519.95177,{A083E9D5-DE57-481C-B499-807DD011F9A5}
1995.2.1,1995,Mayor Robert Speer,Thomas Jay Warren,Bronze,City and County Building,,,3143168.41552,1694511.27156,{CDF68E32-C3AF-4CAE-AF27-FE6D51063766}
1980.2.1,1980,Colorado Miner,George Carlson,Bronze,Washington Park,,,3149048.65372,1681346.90905,{16577828-C1C2-40C5-9B10-AA015988B273}
1918.1.1,1918,Joseph Addison Thatcher Memorial,Lorado Taft,Bronze and Marble,City Park,Entrance off Esplanade,,3152738.77986,1696630.81839,{C6F18723-A1F4-4611-9299-A1A468D61A15}
1966.1.1,1966,Antique Chinese Type Sundial or The Sundial,Milt Erickson,Stone  ,"1st and Bellaire St, off Colorado Blvd.",,,3159020.58051,1687341.48917,{20F8D148-5EC9-47B0-963F-CE7989EBF3D0}
1977.1.1,1977,"Pasado, Presente, Futuro",Carlota Espinoza,Mural,Byers Branch Library,Above main desk,,3140951.64199,1690122.61783,{832D5243-4A92-4456-B5D0-204811347E21}
1993.6.1,1993,Berkeley Park: Past and Present,Randi Eyre,Mural,Berkeley Park Pool,,,3127081.35872,1709791.04981,{453EC393-0D5E-4E83-AA16-32D8E667C813}
1994.1.1,1994,Clear Concept,Sherry Allen,Mural,Berkeley Park,,,3127104.96185,1709795.34061,{612E9B9F-2ECE-4BFC-AEE9-6DC65E54FE98}
1991.14.2,1991,Water Friends,Julie Burrington,Mural,Congress Park Pool,,,3153046.43077,1691239.68355,{A0229D39-0063-4F0A-B7F8-C9A2EE3FD111}
1994.9.1,1994,SubCore Floors,Darrell Anderson and Barb McKee,Mosiac Floor,Denver International Airport,,,3232557.96481,1735005.11029,{71112CD1-FED8-4758-9628-6FDE81C3F5A5}
1994.11.1,1994,Tribute to William E. Smith,Ed Dwight,Bronze,Denver International Airport,,,3232037.13141,1735352.33256,{D2616A4E-19BA-4265-B9B5-67BA85DF03DC}
1994.12.1,1994,"America, Why I Love Her",Gary Sweeney,Mixed Media,Denver International Airport,,,3231689.90906,1735439.13879,{B1A39316-9B51-41FC-BBEE-908AB889C0AE}
1994.13.1,1994,Train Call,Jim Green,Sound Installation,Denver International Airport,,,3231863.5202,1735439.13879,{C99540F0-B29B-401A-A750-2EB093FF31C9}
1994.27.1,1994,Beaded Circle Crossing,Alice Adams,Steel and Mixed Media,Denver International Airport,,,3232037.13141,1735439.13879,{A84000F4-22F9-4C9F-A705-F6B04FC3DF01}
1994.14.1,1994,Great Hall Floor,Juane Quick-To-See Smith and Ken Iw,Terrazzo,Denver International Airport,,,3231950.32643,1735612.75,{B8386239-9603-44A8-92B6-6B159E56CA7F}
1994.15.1,1994,Deep Time/Deep Space,Leni Schwendinger,Neon/bronze,Denver International Airport,,,3232037.13141,1735439.13879,{46668568-E987-4498-BA3C-A0ABC7332628}
1994.16.1,1994,Untitled  Interior Garden,Michael Singer,Concrete and plants,Denver International Airport,,,3232210.74254,1735265.52765,{1B0352EC-EC07-4953-8E9D-EDBFFB9323C8}
1994.17.1,1994,Experimental Aviation,Patty Ortiz,Metal,Denver International Airport,,,3231863.5202,1735439.13879,{F60B7B49-8AB6-4956-B520-D8532EAD60FB}
1994.19.1,1994,Kinetic Light Air Curtain,Toni Rosato and William Maxwell,Steel,Denver International Airport,,,3232210.74254,1735265.52765,{34306C44-A4F1-42D1-B42E-282AE87AD04C}
1994.20.1,1994,Audio Works,Various Artists,Audio,Denver International Airport,,,3232297.54745,1735352.33256,{81B2FF77-9A19-4F5D-851C-2789F90AB6C0}
1994.22.1,1994,SkyDance,Anna Murch,Light projection,Denver International Airport,,,3232037.13141,1735091.91652,{A76E98EA-EB7E-4B08-903C-89E295D957F8}
1994.23.1,1994,Dual Meridian,David Griggs,Steel,Denver International Airport,,,3231950.32643,1735439.13879,{70550DBE-E78E-4C12-8BD2-F4A19C4F1DAD}
1994.24.1,1994,Elrey B Jeppesen Tribute,George W Lundeen,Bronze,Denver International Airport,,,3231776.71529,1735091.91652,{470F33F4-C16B-426A-9B8F-77697CD89CB6}
1994.25.1,1994,Children of the World Dream of Peace,Leo Tanguma,Oil on Canvas,Denver International Airport,,,3231863.5202,1735005.11029,{71BD9351-8662-455F-845F-84A3FFDD5EC9}
1994.26.1,1994,Spirit of The People,Western American Indian Chamber,Photos audio painting,Denver International Airport,,,3231776.71529,1735352.33256,{35EE6BCF-6924-4B57-A947-937F8E4BBFCF}
1997.1.1,1997,Jack Swagert,George W. Lundeen,Bronze,Denver International Airport,,,3231950.32643,1735352.33256,{8EFBEEEF-A41F-422D-9BAC-30FD189B7EC9}
1999.4.1,1999,La Memoria de Nuestra Tierra ,"Judy Baca, Chicano Humanities ",Mural,Denver International Airport,,,3231863.5202,1735005.11029,{61DA11F6-9104-4410-87CC-5BADD5ADFFB8}
1999.5.1,1999,Mile High and Rising,"Marcus Akinlana, ULOZI,Inc.",Mural,Denver International Airport,,,3231863.5202,1735439.13879,{F07FF202-FC8E-4082-8B3F-5FC67CB53488}
2004.11.1,2004,Art Films - Film/Video Grant Project for Students,Various Artists,Video,Denver International Airport,,,3231950.32643,1735352.33256,{DDE950D8-3108-4239-9B33-D2D59826F468}
2003.29.1,2003,Red Rocks scenries ,Stephen Batura,Casein on canvas,Red Rocks Amphitheater,,,3082540.12378,1667475.54789,{4624C0FF-A9FB-438D-8FD3-D6D573A42E9E}
2003.32.1,2003,Red Rocks scenries ,Joellyn Duesberry,Oil on Linen,Red Rocks Amphitheater,,,3082536.73561,1667487.97082,{4C174529-D00F-4835-8CC0-2FBF8840796E}
2003.33.1,2003,Red Rocks scenries ,Christy Wyckoff,Oil on Canvas,Red Rocks Amphitheater,,,3082527.70085,1667476.6764,{6678E4D9-B19E-4AE2-99AE-66082EA9A03D}
2003.34.1,2003,Red Rocks scenries ,Buffalo Kaplinski,Watercolor,Red Rocks Amphitheater,,,3082518.66478,1667465.3833,{D929F664-24F9-4BB3-BA98-B3BC8583DC0D}
2003.36.1,2003,Red Rocks scenries ,Jim Colbert,Oil on Canvas,Red Rocks Amphitheater,,,3082520.92444,1667440.53473,{D3552D28-40CA-4988-9AD7-8FD59ADA070B}
2003.37.1,2003,Red Rocks scenries ,William Stockman,Oil on Canvas,Red Rocks Amphitheater,,,3082532.21761,1667432.6298,{3D42DAF1-5FF8-4C44-9A71-80180356BF38}
2003.38.1,2003,Red Rocks ,Judith Trager,Fiber Quilt,Red Rocks Amphitheater,,,3082544.64186,1667442.79439,{4CEC91A8-0C57-4A01-8BCA-A3E2855E0125}
2004.10.1,2004,Red Rocks scenries ,Andrew Reid,Acrylic on canvas,Red Rocks Amphitheater,,,3082548.03003,1667460.86523,{CCA52390-DB07-4CE0-916A-6C4FAE1D0702}
1974.2.1,1974-1975,Beaumont Fountain,William F Joseph,Bronze and Brass,19th and Welton,,,3144081.03866,1697562.80968,{42B855D3-BDA1-45EB-9A45-B6001490DB6B}
1975.2.1,1975,Untitled,Robert Mangold,Steel sculpture,144 West Colfax,One of two,,3141513.68782,1694848.99997,{FF511AD1-B837-4C66-8D5F-7EBB0D19232D}
1975.2.2,1975,Untitled,Robert Mangold,Steel sculpture,Civic Center Park,Two of two,,3143602.66351,1694891.10054,{703AF4E3-9A9B-4C84-89F4-078778602EAF}
1975.4.1,1975,Concrete and Steel - 1975,"Will Morton, VIII","Concrete, steel, paint, glass",Montbello Branch Library,,Interactive piece that runs through building,3185365.30971,1709702.03461,{EEDCCBA1-C1BC-496A-9DF8-C5E44B448D15}
1996.5.1,1996,Denver Central Library Public Art Project: ,Edward J Ruscha,Oil on Canvas,Central Library,,,3143904.87948,1693963.54289,{90F85882-C4CF-4547-BC56-6D86EF3AD93A}
2010.4.1,2010,Cloudbreak,Catherine Widgery,Glass and Steel,Denver Justice Center Jury Room,,,3142101.45706,1694516.04613,{A2494989-C212-4D12-9842-4F1C8B73FD0B}
2010.6.1,2010,Denver Convergence ,Ralph  Helmick,Steel,Lindsey Flanigan Courthouse,,,3142229.1681,1694771.29694,{5DB8C513-99F0-4FA2-9170-B35604CCB20D}
